Species
Lepisma sp.
Machilinus sp.
Aeshna multicolor
Anax junius
Argia sp.
Enallagma sp.
Erythemis collocate
Libellula saturate
Plathemis Lydia
Sympetrum corruptum
Tramea lacerta
Tramea onusta
Melanoplus sp.
Trimerotropis sp.
Acheta sp.
Forficula auricularia
Unidentified
Geocoris sp.
Lygeus kalmii
Oncopeltus fasciatus
Lygus sp.
Apiomerus sp.
Triatoma sp.
Arhyssus sp.
Okanagana sp.
Platypedia sp.
Scolops sp.
Chrosopa sp.
Acmaeodera hepburni
Acmaeodera jocosa
Acmaeodera plagiaticauda
Agrilus sp.
Anthaxia sp.
Prionus californicus
Stenostrophia sp.
Strophiona tigrina
Chrysochus cobaltinus
Diabrotica undecimpunctata howardi
Saxinus sp.
Harmonia axyridis
Curculio sp.
Eupompha elegans
Nemognatha sp.
Thalycra sp.
Serica sp.
Unidentified rove beetles
Eleodes sp.
Tenebrio sp.
Atalopedes campestris campestris
Erynnis funeralis
Erynnis tristis tristis
Heliophila ericetorum
Hylephila phyleus
Lerodea eufala
Ochlodes agricola agricola
Pyrgus albescens
Pyrgus communis
Atlides halesus
Brephidium exile
Celastrina ladon echo
Euphilotes bernardino bernardino
Glaucopsyche lygdamus
Habrodais grunus grunus
Icaricia acmon acmon
Icaricia lupine
Leptotes marina
Lycaena gorgon gorgon
Lycaena heteronea clara
Lycaena xanthoides xanthoides
Strymon melinus pudicus
Adelpha bredowii californica
Aglais anitiopa anatiopa
Coenonympha californica californica
Danaus gilippus
Danaus plexippus
Junonia coenia
Limenitis lorquini
Nymphalis antiopa
Speyeria calliope macaria
Speyeria egleis tehachapina
Vanessa anabella
Vanessa atalanta
Vanessa cardui
Vanessa virginiensis
Vanessa sp.
Papilio eurymedonil
Papilio rutulus
Papilio zelicaon
Anthocharis sara
Artogeia rapae
Colias eurytheme
Colias harfordii
Nathalis iole
Phoebis sennae sennae
Pieris rapae
Pontia protodice
Apodemia mormo mormo
Cercyonis sthenele
Eulonchus smaragdinus
Eulonchus sp.
Bombylius sp.
Conophorus obesulus
Thevenemyia sp.
Physocephala sp.
Musca sp.
Stomoxys calcitrans
Spilomyia sp.
Chrysops sp.
Tabanus punctifer
Tabanus sp. 1
Tabanus sp. 2
Andrena sp. 1 Diandrena
Andrena sp. 2
Andrena sp. 3
Nomadopsis fracta
Anthophora californica
Anthophora urbana
Apis mellifera
Bombus crotchii bumblebee
Bombus morrisoni
Bombus sp. 1
Bombus voznesenskii
Centris pallida
Ceratina sp.
Nomada sp. 2
Nomada sp. I
Synhalonia sp. 1
Synhalonia sp. 2
Xeromelecta californica
Xylocopa californica
Xylocopa tabaniformis
Unidentified
Chrysurissa densa
Hylaeus sp. 1
Hylaeus sp. 2
Halictus farinosus
Lasioglossum sisymbrii
Lasioglossum sp. 1
Lasioglossum sp. 2
Sphecodes sp.
Anthidium sp. leaf-cutter bee
Chelostoma sp.
Hoplitis sp. 1
Hoplitis sp. 2
Hoplitis sp. 3
Megachile sp. 1
Megachile sp. 2
Osmia sp. 1
Osmia sp. 2
Osmia sp. 3
Hesperapis sp. 1
Hesperapis sp. 2
Pepsis chrysothemis
Pepsis mildei
Pepsis sp.
Pepsis thisbe
Tachypompilus unicolor
Bembix amoena
Cerceris completa
Cerceris sp.
Ectemnius sp. 1
Ectemnius sp. 2
Glenostictia pulla
Philanthus crabroniformis
Podalonia sp. 1
Podalonia sp. 2
Sphex ichneumoneus
Steniolia duplicata
Tachysphex sp.
Trypoxylon sp.
Eumenes crucifera
Euodynerus foraminatus
Polistes sp.
Pseudomasaris vespoides
Vespula pensylvanica
Vespula sulphurea
Brachinecta lindahli
